loan_id,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status,total_asset_value,asset_to_loan_ratio,risk_category,is_low_income
26,5, Not Graduate, No,3100000,9500000,20,514,7900000,3100000,6600000,2600000, Rejected,20200000,2.126315789473684,Low,0
27,4, Graduate, No,8200000,28100000,12,696,11500000,10600000,25300000,7200000, Approved,54600000,1.9430604982206405,Medium,0
28,4, Not Graduate, Yes,2400000,5600000,4,662,4500000,4200000,5400000,2500000, Approved,16600000,2.9642857142857144,Medium,0
29,5, Not Graduate, Yes,7000000,24000000,6,336,2300000,11900000,27500000,9700000, Rejected,51400000,2.1416666666666666,Low,0
30,3, Not Graduate, Yes,9000000,31500000,10,850,21800000,12400000,33700000,8000000, Approved,75900000,2.4095238095238094,High,0
31,2, Not Graduate, No,9800000,25300000,12,313,20200000,5200000,25500000,9300000, Rejected,60200000,2.3794466403162056,Low,0
32,2, Graduate, No,5700000,12000000,6,363,3600000,7400000,21700000,4300000, Rejected,37000000,3.0833333333333335,Low,0
33,1, Not Graduate, Yes,800000,1600000,10,436,700000,200000,2200000,1000000, Rejected,4100000,2.5625,Low,0
34,5, Not Graduate, Yes,8400000,22000000,2,830,3800000,3900000,19900000,5400000, Approved,33000000,1.5,High,0
35,3, Graduate, No,4900000,11900000,8,612,9700000,1200000,19000000,5800000, Approved,35700000,3.0,Medium,0
36,2, Graduate, Yes,1700000,3400000,8,691,2700000,2800000,6000000,900000, Approved,12400000,3.6470588235294117,Medium,0
37,3, Not Graduate, No,1600000,6200000,18,636,3400000,700000,5300000,1400000, Approved,10800000,1.7419354838709677,Medium,0
38,5, Graduate, Yes,8000000,27200000,6,348,6400000,300000,16700000,7100000, Rejected,30500000,1.1213235294117647,Low,0
39,5, Graduate, No,3600000,7700000,16,830,7000000,1300000,10000000,2900000, Approved,21200000,2.7532467532467533,High,0
40,3, Not Graduate, Yes,1500000,5100000,6,352,100000,200000,5600000,900000, Rejected,6800000,1.3333333333333333,Low,0
41,1, Graduate, No,7800000,18100000,2,712,8600000,11200000,21700000,9000000, Approved,50500000,2.7900552486187844,Medium,0
42,2, Not Graduate, No,9100000,24900000,16,822,22300000,12100000,31000000,5200000, Approved,70600000,2.8353413654618476,High,0
43,3, Graduate, No,1400000,3400000,6,540,200000,1500000,3900000,800000, Rejected,6400000,1.8823529411764706,Low,0
44,2, Graduate, Yes,800000,2300000,12,342,2200000,1300000,1800000,800000, Rejected,6100000,2.652173913043478,Low,0
45,5, Graduate, No,6500000,13400000,18,787,18200000,300000,16200000,5400000, Approved,40100000,2.9925373134328357,High,0
46,4, Graduate, No,8000000,27800000,16,331,13000000,6300000,21400000,10900000, Rejected,51600000,1.856115107913669,Low,0
47,3, Not Graduate, Yes,4200000,14600000,6,679,2400000,6900000,8700000,4900000, Approved,22900000,1.5684931506849316,Medium,0
48,1, Graduate, Yes,4900000,19100000,14,677,5400000,9100000,17700000,6500000, Approved,38700000,2.026178010471204,Medium,0
49,3, Not Graduate, No,5500000,20500000,12,634,800000,8600000,18500000,8200000, Approved,36100000,1.7609756097560976,Medium,0
50,1, Not Graduate, Yes,9500000,19100000,16,662,100000,10500000,37700000,11700000, Approved,60000000,3.141361256544503,Medium,0
51,4, Graduate, No,7300000,25400000,16,502,500000,1800000,20500000,10500000, Rejected,33300000,1.311023622047244,Low,0
52,2, Graduate, No,8700000,24700000,10,435,6800000,3500000,21800000,11300000, Rejected,43400000,1.757085020242915,Low,0
53,5, Not Graduate, No,3800000,7600000,4,689,8700000,100000,9300000,3400000, Approved,21500000,2.8289473684210527,Medium,0
54,1, Not Graduate, Yes,8400000,23000000,12,657,15400000,14800000,31900000,8200000, Approved,70300000,3.0565217391304347,Medium,0
55,2, Graduate, Yes,5100000,19700000,20,590,7400000,9300000,19400000,3400000, Approved,39500000,2.00507614213198,Low,0
56,5, Not Graduate, No,6700000,24500000,12,818,1200000,5600000,16300000,6200000, Approved,29300000,1.1959183673469387,High,0
57,2, Not Graduate, No,4300000,10600000,18,431,2100000,1500000,9300000,5200000, Rejected,18100000,1.7075471698113207,Low,0
58,5, Graduate, Yes,9300000,30500000,18,841,19300000,10300000,34600000,8700000, Approved,72900000,2.3901639344262295,High,0
59,1, Graduate, No,7400000,18400000,20,421,18500000,9100000,17500000,4100000, Rejected,49200000,2.6739130434782608,Low,0
60,4, Not Graduate, Yes,5500000,18200000,16,797,-100000,4900000,18600000,4800000, Approved,28200000,1.5494505494505495,High,0
61,2, Not Graduate, No,8500000,18900000,18,478,23800000,16300000,25900000,11400000, Rejected,77400000,4.095238095238095,Low,0
62,3, Not Graduate, Yes,9600000,30500000,18,669,4700000,1900000,26500000,9300000, Approved,42400000,1.3901639344262295,Medium,0
63,5, Not Graduate, Yes,8800000,28900000,6,365,24400000,8600000,27400000,4700000, Rejected,65100000,2.2525951557093427,Low,0
64,3, Not Graduate, Yes,3300000,7500000,20,586,1600000,5600000,10500000,2900000, Approved,20600000,2.7466666666666666,Low,0
65,4, Graduate, Yes,3900000,12300000,18,784,7600000,6900000,13100000,2800000, Approved,30400000,2.4715447154471546,High,0
66,1, Graduate, No,4100000,10300000,12,364,9500000,6100000,14900000,2800000, Rejected,33300000,3.233009708737864,Low,0
67,3, Not Graduate, No,8300000,29100000,10,715,6100000,11900000,24100000,11900000, Approved,54000000,1.8556701030927836,Medium,0
68,0, Not Graduate, Yes,2700000,10100000,20,693,200000,1700000,5900000,1400000, Rejected,9200000,0.9108910891089109,Medium,0
69,4, Graduate, No,5600000,12400000,4,777,5500000,3100000,11800000,5500000, Approved,25900000,2.088709677419355,High,0
70,0, Graduate, No,1900000,5000000,12,312,4000000,2800000,4900000,2400000, Rejected,14100000,2.82,Low,0
71,4, Not Graduate, Yes,500000,1500000,20,340,100000,200000,1900000,600000, Rejected,2800000,1.8666666666666667,Low,0
72,5, Graduate, Yes,5300000,18600000,4,386,2700000,9700000,11900000,4200000, Approved,28500000,1.532258064516129,Low,0
73,5, Not Graduate, No,7000000,18300000,4,418,18400000,11700000,21500000,7600000, Rejected,59200000,3.2349726775956285,Low,0
74,3, Not Graduate, Yes,5800000,16700000,16,735,3900000,9400000,12600000,5600000, Approved,31500000,1.8862275449101797,Medium,0
75,2, Not Graduate, No,2600000,8400000,6,494,6500000,3800000,5600000,2000000, Rejected,17900000,2.130952380952381,Low,0
76,2, Not Graduate, No,1900000,6500000,18,671,600000,2500000,4800000,1100000, Approved,9000000,1.3846153846153846,Medium,0
77,4, Graduate, No,5700000,14800000,16,697,14300000,7800000,12900000,6300000, Approved,41300000,2.7905405405405403,Medium,0
78,0, Graduate, No,9000000,33500000,8,801,11600000,8900000,35400000,11100000, Approved,67000000,2.0,High,0
79,2, Not Graduate, No,8500000,29400000,12,576,17600000,5600000,25200000,9000000, Approved,57400000,1.9523809523809523,Low,0
80,0, Not Graduate, No,700000,1400000,14,639,1900000,700000,2400000,900000, Approved,5900000,4.214285714285714,Medium,0
81,4, Graduate, No,3500000,8900000,4,470,1300000,2200000,12300000,2000000, Rejected,17800000,2.0,Low,0
82,0, Not Graduate, No,8800000,31200000,4,826,2900000,500000,33300000,8600000, Approved,45300000,1.4519230769230769,High,0
83,2, Not Graduate, Yes,9900000,21200000,16,363,25500000,11400000,26600000,6800000, Rejected,70300000,3.3160377358490565,Low,0
84,3, Graduate, No,3600000,8600000,20,613,9400000,300000,10300000,3300000, Approved,23300000,2.7093023255813953,Medium,0
85,3, Not Graduate, Yes,3000000,8200000,16,713,5300000,5800000,11000000,3400000, Approved,25500000,3.1097560975609757,Medium,0
86,2, Graduate, No,6800000,21200000,16,439,17100000,4700000,23300000,3600000, Rejected,48700000,2.297169811320755,Low,0
87,5, Not Graduate, Yes,1100000,3800000,18,387,1300000,1200000,3800000,1600000, Rejected,7900000,2.0789473684210527,Low,0
88,1, Not Graduate, Yes,8700000,28300000,8,402,20400000,13600000,27900000,10200000, Rejected,72100000,2.547703180212014,Low,0
89,4, Graduate, Yes,2000000,8000000,6,837,5100000,2600000,3900000,2900000, Approved,14500000,1.8125,High,0
90,2, Not Graduate, No,9800000,37600000,10,641,24100000,0,23400000,7600000, Approved,55100000,1.4654255319148937,Medium,0
91,4, Graduate, No,5700000,21100000,18,489,500000,4300000,12500000,6000000, Rejected,23300000,1.1042654028436019,Low,0
92,4, Graduate, No,8800000,20700000,18,540,19200000,3200000,22400000,12700000, Rejected,57500000,2.7777777777777777,Low,0
93,4, Graduate, No,3800000,8900000,4,844,9100000,3500000,13100000,4700000, Approved,30400000,3.4157303370786516,High,0
94,1, Graduate, No,1700000,6400000,10,452,900000,1100000,5600000,2100000, Rejected,9700000,1.515625,Low,0
95,2, Graduate, No,1000000,2000000,10,366,1200000,400000,3200000,1300000, Rejected,6100000,3.05,Low,0
96,5, Graduate, No,300000,1100000,2,300,100000,500000,700000,400000, Approved,1700000,1.5454545454545454,Low,0
97,2, Graduate, Yes,6600000,15000000,18,470,1200000,4800000,18200000,7000000, Rejected,31200000,2.08,Low,0
98,2, Not Graduate, No,8700000,25000000,20,861,14700000,8500000,23200000,7300000, Approved,53700000,2.148,High,0
99,4, Graduate, No,9400000,29400000,12,562,25900000,15200000,36400000,7100000, Approved,84600000,2.877551020408163,Low,0
100,0, Graduate, No,4400000,10800000,14,463,2400000,4800000,13800000,4700000, Rejected,25700000,2.3796296296296298,Low,0
101,4, Not Graduate, No,400000,900000,12,478,700000,100000,1200000,100000, Rejected,2100000,2.3333333333333335,Low,0
102,2, Not Graduate, Yes,300000,1100000,2,702,300000,200000,500000,200000, Approved,1200000,1.0909090909090908,Medium,0
103,2, Not Graduate, Yes,4300000,12900000,20,618,11400000,3600000,11400000,2400000, Approved,28800000,2.2325581395348837,Medium,0
104,4, Graduate, No,1600000,4500000,12,633,700000,1700000,4100000,1900000, Approved,8400000,1.8666666666666667,Medium,0
105,5, Not Graduate, Yes,6200000,23600000,10,331,18500000,10300000,23800000,8700000, Rejected,61300000,2.597457627118644,Low,0
106,3, Not Graduate, Yes,4200000,9700000,16,841,7800000,300000,16700000,5100000, Approved,29900000,3.082474226804124,High,0
107,4, Not Graduate, Yes,9000000,18100000,12,764,600000,16500000,20800000,11600000, Approved,49500000,2.734806629834254,High,0
108,0, Graduate, No,2700000,10600000,6,591,1300000,2700000,9900000,1800000, Approved,15700000,1.4811320754716981,Low,0
109,1, Graduate, Yes,9700000,35900000,2,719,19600000,7600000,20400000,10900000, Approved,58500000,1.6295264623955432,Medium,0
110,2, Graduate, No,3300000,6800000,14,317,3400000,300000,11700000,3600000, Rejected,19000000,2.7941176470588234,Low,0
111,0, Not Graduate, No,300000,1100000,8,778,800000,200000,900000,100000, Approved,2000000,1.8181818181818181,High,0
112,3, Graduate, Yes,7400000,18200000,14,302,5600000,3100000,17900000,5000000, Rejected,31600000,1.7362637362637363,Low,0
113,5, Not Graduate, No,7100000,19700000,8,502,7300000,5600000,25300000,9800000, Rejected,48000000,2.436548223350254,Low,0
114,5, Not Graduate, Yes,7300000,22100000,18,879,19500000,10600000,19300000,9800000, Approved,59200000,2.678733031674208,High,0
115,1, Not Graduate, No,8400000,23400000,14,437,15400000,5800000,33400000,8100000, Rejected,62700000,2.6794871794871793,Low,0
116,0, Not Graduate, Yes,3300000,10800000,12,797,600000,6000000,7700000,3300000, Approved,17600000,1.6296296296296295,High,0
117,4, Not Graduate, Yes,5800000,23200000,18,456,16100000,4200000,22600000,7500000, Rejected,50400000,2.1724137931034484,Low,0
118,0, Not Graduate, No,600000,1600000,6,647,1500000,600000,1500000,700000, Approved,4300000,2.6875,Medium,0
119,0, Not Graduate, No,7200000,15800000,12,379,12700000,12200000,21500000,3600000, Rejected,50000000,3.1645569620253164,Low,0
120,1, Not Graduate, Yes,9100000,32900000,2,717,2200000,2000000,23600000,5900000, Approved,33700000,1.0243161094224924,Medium,0
121,5, Graduate, No,900000,2300000,16,545,100000,200000,2700000,800000, Rejected,3800000,1.6521739130434783,Low,0
122,2, Graduate, No,800000,3200000,8,317,300000,1000000,2000000,900000, Rejected,4200000,1.3125,Low,0
123,1, Not Graduate, No,8500000,32900000,10,570,5100000,6200000,20500000,5500000, Approved,37300000,1.1337386018237081,Low,0
124,0, Not Graduate, Yes,9000000,18700000,18,865,26800000,0,20900000,11300000, Approved,59000000,3.1550802139037435,High,0
125,3, Graduate, No,7000000,19500000,14,719,12200000,10300000,18200000,10200000, Approved,50900000,2.6102564102564103,Medium,0
126,3, Graduate, No,200000,600000,16,821,400000,100000,500000,100000, Approved,1100000,1.8333333333333333,High,1
127,4, Not Graduate, Yes,400000,800000,10,859,900000,500000,800000,200000, Approved,2400000,3.0,High,0
128,3, Not Graduate, No,5100000,18200000,10,395,100000,8000000,15500000,6300000, Rejected,29900000,1.6428571428571428,Low,0
129,2, Not Graduate, Yes,700000,2600000,12,429,1600000,1300000,2700000,800000, Rejected,6400000,2.4615384615384617,Low,0
130,3, Graduate, No,400000,1200000,12,861,200000,600000,1100000,200000, Approved,2100000,1.75,High,0
131,0, Not Graduate, Yes,9500000,20800000,14,565,15100000,11900000,33900000,13400000, Approved,74300000,3.5721153846153846,Low,0
132,5, Graduate, No,8800000,22600000,10,357,7900000,8600000,18200000,4900000, Rejected,39600000,1.752212389380531,Low,0
133,3, Not Graduate, Yes,1800000,3600000,18,465,600000,500000,5400000,2600000, Rejected,9100000,2.5277777777777777,Low,0
134,4, Not Graduate, Yes,6800000,13900000,8,479,11700000,9100000,25700000,9600000, Rejected,56100000,4.0359712230215825,Low,0
135,3, Not Graduate, No,1500000,5500000,16,717,2100000,800000,4400000,1300000, Approved,8600000,1.5636363636363637,Medium,0
136,3, Graduate, No,1600000,5500000,12,425,600000,800000,5400000,900000, Rejected,7700000,1.4,Low,0
137,2, Not Graduate, No,4600000,16700000,2,786,200000,5900000,13900000,6100000, Approved,26100000,1.562874251497006,High,0
138,5, Not Graduate, Yes,2200000,6700000,6,382,4400000,1300000,8600000,1100000, Rejected,15400000,2.298507462686567,Low,0
139,3, Not Graduate, Yes,2900000,8500000,12,564,1000000,3100000,7500000,1800000, Approved,13400000,1.576470588235294,Low,0
140,0, Graduate, No,200000,700000,8,501,500000,200000,700000,100000, Rejected,1500000,2.142857142857143,Low,1
141,2, Not Graduate, Yes,2500000,9400000,10,727,6600000,4100000,9500000,3300000, Approved,23500000,2.5,Medium,0
142,4, Not Graduate, No,3600000,7500000,6,894,1100000,6500000,7400000,2800000, Approved,17800000,2.3733333333333335,High,0
143,0, Graduate, Yes,5500000,16700000,18,829,5500000,1300000,12800000,5900000, Approved,25500000,1.526946107784431,High,0
144,4, Not Graduate, No,6600000,17400000,20,506,2600000,10000000,25900000,7200000, Rejected,45700000,2.6264367816091956,Low,0
145,2, Graduate, Yes,8600000,32100000,6,802,9400000,16700000,24500000,9800000, Approved,60400000,1.881619937694704,High,0
146,5, Not Graduate, No,600000,1500000,14,543,300000,900000,2100000,300000, Rejected,3600000,2.4,Low,0
147,3, Graduate, Yes,1400000,3200000,20,772,2400000,900000,5100000,1600000, Approved,10000000,3.125,High,0
148,3, Graduate, No,4000000,11100000,12,572,9700000,100000,12500000,2400000, Approved,24700000,2.225225225225225,Low,0
149,0, Not Graduate, Yes,4900000,11900000,16,709,14600000,900000,18500000,3800000, Approved,37800000,3.176470588235294,Medium,0
150,5, Graduate, No,2000000,6200000,18,402,4000000,2100000,7200000,1100000, Rejected,14400000,2.3225806451612905,Low,0
151,1, Not Graduate, Yes,5200000,19300000,8,481,14300000,9500000,18800000,4200000, Rejected,46800000,2.4248704663212437,Low,0
152,5, Graduate, Yes,8900000,28800000,6,772,13600000,5500000,20400000,8400000, Approved,47900000,1.6631944444444444,High,0
153,1, Graduate, Yes,6500000,20600000,2,306,15900000,1900000,18100000,3200000, Approved,39100000,1.8980582524271845,Low,0
154,2, Not Graduate, No,1300000,4500000,6,415,0,900000,2900000,1200000, Rejected,5000000,1.1111111111111112,Low,0
155,3, Not Graduate, No,9400000,35000000,16,548,18200000,4400000,36100000,4800000, Rejected,63500000,1.8142857142857143,Low,0
156,5, Not Graduate, No,5000000,11200000,8,701,9100000,500000,14000000,4600000, Approved,28200000,2.517857142857143,Medium,0
157,2, Graduate, No,3000000,7700000,12,890,4700000,4300000,8400000,2100000, Approved,19500000,2.5324675324675323,High,0
158,5, Not Graduate, Yes,9900000,33300000,6,364,5300000,18700000,27800000,8300000, Rejected,60100000,1.8048048048048049,Low,0
159,5, Graduate, Yes,700000,1300000,20,704,1600000,0,2200000,600000, Approved,4400000,3.3846153846153846,Medium,0
160,3, Graduate, Yes,4000000,10600000,10,318,1500000,5100000,8000000,4900000, Rejected,19500000,1.8396226415094339,Low,0
161,5, Not Graduate, No,3100000,9600000,2,761,5800000,1800000,10400000,4200000, Approved,22200000,2.3125,High,0
162,4, Not Graduate, No,4500000,15100000,6,693,3700000,1500000,17800000,6000000, Approved,29000000,1.9205298013245033,Medium,0
163,3, Not Graduate, No,9700000,20600000,16,524,24200000,11100000,27400000,6100000, Rejected,68800000,3.3398058252427183,Low,0
164,2, Not Graduate, Yes,2000000,5300000,10,681,4900000,1400000,4300000,2900000, Approved,13500000,2.547169811320755,Medium,0
165,2, Graduate, Yes,8100000,22300000,18,737,22300000,12600000,27000000,7300000, Approved,69200000,3.103139013452915,Medium,0
166,0, Not Graduate, No,5700000,15900000,16,638,100000,9500000,16300000,4500000, Approved,30400000,1.9119496855345912,Medium,0
167,4, Not Graduate, No,5800000,12800000,2,656,500000,5000000,16000000,2800000, Approved,24300000,1.8984375,Medium,0
168,1, Graduate, No,1800000,6500000,6,540,2500000,3200000,5000000,1100000, Rejected,11800000,1.8153846153846154,Low,0
169,4, Not Graduate, Yes,9100000,35200000,6,341,1000000,300000,23100000,8200000, Rejected,32600000,0.9261363636363636,Low,0
170,0, Not Graduate, Yes,4800000,17500000,2,371,11700000,6800000,18700000,3500000, Approved,40700000,2.3257142857142856,Low,0
171,3, Not Graduate, Yes,3800000,10500000,12,886,4000000,500000,14900000,2300000, Approved,21700000,2.066666666666667,High,0
172,0, Not Graduate, No,1900000,4100000,18,801,400000,800000,4800000,1200000, Approved,7200000,1.7560975609756098,High,0
173,3, Not Graduate, Yes,3600000,9500000,16,748,7700000,2400000,9700000,2600000, Approved,22400000,2.357894736842105,Medium,0
174,2, Not Graduate, Yes,7400000,28200000,8,376,21900000,5000000,17400000,5200000, Rejected,49500000,1.7553191489361701,Low,0
175,4, Not Graduate, Yes,6600000,14300000,8,371,10800000,9500000,18500000,7400000, Rejected,46200000,3.230769230769231,Low,0
176,2, Graduate, No,1800000,5300000,6,826,4500000,700000,6500000,1300000, Approved,13000000,2.452830188679245,High,0
177,4, Not Graduate, No,9200000,27200000,12,873,4500000,1800000,33800000,11400000, Approved,51500000,1.8933823529411764,High,0
178,5, Not Graduate, Yes,2400000,8600000,8,309,500000,600000,5700000,2800000, Rejected,9600000,1.1162790697674418,Low,0
179,4, Not Graduate, No,5600000,13300000,20,869,3300000,7500000,20000000,6500000, Approved,37300000,2.8045112781954886,High,0
180,5, Graduate, No,3800000,13900000,12,534,4700000,2900000,8200000,2800000, Rejected,18600000,1.3381294964028776,Low,0
181,3, Not Graduate, Yes,4500000,17900000,6,787,9800000,3600000,14300000,4200000, Approved,31900000,1.782122905027933,High,0
182,0, Graduate, Yes,900000,2200000,16,566,100000,700000,2000000,600000, Approved,3400000,1.5454545454545454,Low,0
183,0, Not Graduate, No,2800000,9900000,8,742,4900000,1300000,6700000,1700000, Approved,14600000,1.4747474747474747,Medium,0
184,2, Not Graduate, No,7500000,23100000,4,824,12100000,10900000,26300000,9500000, Approved,58800000,2.5454545454545454,High,0
185,4, Graduate, No,1400000,3100000,14,575,3000000,2100000,4900000,1400000, Approved,11400000,3.6774193548387095,Low,0
186,2, Graduate, Yes,3800000,10900000,10,766,1900000,3900000,8600000,3000000, Approved,17400000,1.5963302752293578,High,0
187,1, Not Graduate, Yes,1700000,5000000,10,888,2900000,900000,4100000,2200000, Approved,10100000,2.02,High,0
188,3, Graduate, Yes,9000000,30400000,6,638,16800000,11000000,26900000,9200000, Approved,63900000,2.101973684210526,Medium,0
189,5, Not Graduate, Yes,7300000,23300000,6,622,7100000,11600000,26400000,10500000, Approved,55600000,2.3862660944206007,Medium,0
190,1, Not Graduate, No,7400000,19800000,18,458,12600000,6200000,27700000,4000000, Rejected,50500000,2.5505050505050506,Low,0
191,1, Not Graduate, No,9000000,28200000,16,327,1700000,2300000,24000000,11200000, Rejected,39200000,1.3900709219858156,Low,0
192,0, Not Graduate, No,3000000,6500000,2,612,8800000,3400000,6700000,1700000, Approved,20600000,3.169230769230769,Medium,0
193,1, Graduate, No,800000,2900000,8,682,2200000,1100000,2900000,700000, Approved,6900000,2.3793103448275863,Medium,0
194,2, Graduate, No,4800000,13200000,2,583,13700000,5800000,9500000,5200000, Approved,34200000,2.590909090909091,Low,0
195,5, Not Graduate, No,6400000,18300000,8,697,10000000,3600000,22500000,3600000, Approved,39700000,2.169398907103825,Medium,0
196,3, Graduate, No,9200000,27100000,12,306,5800000,11500000,28000000,9600000, Rejected,54900000,2.025830258302583,Low,0
197,4, Not Graduate, Yes,400000,1500000,2,669,-100000,600000,900000,500000, Approved,1900000,1.2666666666666666,Medium,0
198,2, Not Graduate, No,2800000,6000000,18,816,6300000,4200000,8000000,3400000, Approved,21900000,3.65,High,0
199,4, Not Graduate, Yes,8500000,28900000,20,455,15200000,5800000,22500000,9400000, Rejected,52900000,1.8304498269896194,Low,0
200,3, Graduate, Yes,4700000,16400000,10,318,11400000,8100000,16200000,4300000, Rejected,40000000,2.4390243902439024,Low,0
201,4, Not Graduate, Yes,9800000,21200000,20,355,22000000,8900000,31800000,14400000, Rejected,77100000,3.6367924528301887,Low,0
202,2, Not Graduate, Yes,3800000,8900000,16,389,200000,5600000,12200000,2200000, Rejected,20200000,2.269662921348315,Low,0
203,2, Graduate, No,500000,1500000,2,888,1500000,300000,1500000,600000, Approved,3900000,2.6,High,0
204,2, Graduate, Yes,6900000,15600000,6,352,13000000,5300000,22600000,10000000, Rejected,50900000,3.2628205128205128,Low,0
205,4, Not Graduate, Yes,9600000,30100000,12,870,300000,6700000,38200000,5600000, Approved,50800000,1.6877076411960132,High,0
206,3, Not Graduate, No,2900000,6500000,18,827,8300000,600000,10400000,3200000, Approved,22500000,3.4615384615384617,High,0
207,2, Graduate, No,9800000,20900000,12,768,3400000,10200000,38600000,13400000, Approved,65600000,3.138755980861244,High,0
208,0, Graduate, No,7100000,15400000,18,707,10300000,10800000,19600000,5800000, Approved,46500000,3.0194805194805197,Medium,0
209,1, Not Graduate, Yes,7700000,19100000,10,355,11300000,4900000,21900000,6600000, Rejected,44700000,2.3403141361256545,Low,0
210,3, Graduate, No,1400000,3300000,2,652,100000,2100000,3500000,1900000, Approved,7600000,2.303030303030303,Medium,0
211,3, Graduate, No,7800000,15900000,2,665,14400000,900000,27200000,5400000, Approved,47900000,3.0125786163522013,Medium,0
212,5, Not Graduate, Yes,1700000,6000000,18,420,500000,1600000,3700000,2300000, Rejected,8100000,1.35,Low,0
213,2, Not Graduate, No,8500000,32700000,18,471,12600000,9400000,33900000,12500000, Rejected,68400000,2.091743119266055,Low,0
214,5, Not Graduate, No,1900000,7500000,20,715,5100000,2800000,6500000,2800000, Approved,17200000,2.2933333333333334,Medium,0
215,2, Not Graduate, Yes,6700000,15200000,10,689,0,8200000,15000000,6800000, Approved,30000000,1.9736842105263157,Medium,0
216,3, Graduate, Yes,6900000,16400000,4,787,11100000,6100000,26400000,3800000, Approved,47400000,2.8902439024390243,High,0
217,2, Graduate, No,2600000,7800000,4,819,3100000,4300000,5700000,1500000, Approved,14600000,1.8717948717948718,High,0
218,4, Graduate, Yes,9600000,21100000,6,809,16100000,9500000,34700000,8700000, Approved,69000000,3.2701421800947865,High,0
219,1, Not Graduate, Yes,6800000,17000000,2,744,15500000,3900000,23700000,3500000, Approved,46600000,2.7411764705882353,Medium,0
220,0, Not Graduate, No,3200000,11300000,6,484,3500000,5500000,8500000,2100000, Rejected,19600000,1.7345132743362832,Low,0
221,4, Not Graduate, No,2900000,10400000,6,673,5100000,1700000,10600000,1700000, Approved,19100000,1.8365384615384615,Medium,0
222,3, Graduate, Yes,7900000,21200000,18,695,13800000,10600000,21800000,4900000, Approved,51100000,2.410377358490566,Medium,0
