loan_id,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,loan_term_years,cibil_score,risk_category,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,total_assets_value,debt_to_income_ratio,asset_to_loan_ratio,has_dependents,is_low_income,loan_status,loan_status_code
82,0," Not Graduate"," No",8800000,31200000,4,0.3333,826,High,2900000,500000,33300000,8600000,45300000,3.54545,1.45192,0,0," Approved",1
83,2," Not Graduate"," Yes",9900000,21200000,16,1.3333,363,Low,25500000,11400000,26600000,6800000,70300000,2.14141,3.31604,1,0," Rejected",0
84,3," Graduate"," No",3600000,8600000,20,1.6667,613,Medium,9400000,300000,10300000,3300000,23300000,2.38889,2.70930,1,0," Approved",1
85,3," Not Graduate"," Yes",3000000,8200000,16,1.3333,713,Medium,5300000,5800000,11000000,3400000,25500000,2.73333,3.10976,1,0," Approved",1
86,2," Graduate"," No",6800000,21200000,16,1.3333,439,Low,17100000,4700000,23300000,3600000,48700000,3.11765,2.29717,1,0," Rejected",0
87,5," Not Graduate"," Yes",1100000,3800000,18,1.5000,387,Low,1300000,1200000,3800000,1600000,7900000,3.45455,2.07895,1,0," Rejected",0
88,1," Not Graduate"," Yes",8700000,28300000,8,0.6667,402,Low,20400000,13600000,27900000,10200000,72100000,3.25287,2.54770,1,0," Rejected",0
89,4," Graduate"," Yes",2000000,8000000,6,0.5000,837,High,5100000,2600000,3900000,2900000,14500000,4.00000,1.81250,1,0," Approved",1
90,2," Not Graduate"," No",9800000,37600000,10,0.8333,641,Medium,24100000,0,23400000,7600000,55100000,3.83673,1.46543,1,0," Approved",1
91,4," Graduate"," No",5700000,21100000,18,1.5000,489,Low,500000,4300000,12500000,6000000,23300000,3.70175,1.10427,1,0," Rejected",0
92,4," Graduate"," No",8800000,20700000,18,1.5000,540,Low,19200000,3200000,22400000,12700000,57500000,2.35227,2.77778,1,0," Rejected",0
93,4," Graduate"," No",3800000,8900000,4,0.3333,844,High,9100000,3500000,13100000,4700000,30400000,2.34211,3.41573,1,0," Approved",1
94,1," Graduate"," No",1700000,6400000,10,0.8333,452,Low,900000,1100000,5600000,2100000,9700000,3.76471,1.51563,1,0," Rejected",0
95,2," Graduate"," No",1000000,2000000,10,0.8333,366,Low,1200000,400000,3200000,1300000,6100000,2.00000,3.05000,1,0," Rejected",0
96,5," Graduate"," No",300000,1100000,2,0.1667,300,Low,100000,500000,700000,400000,1700000,3.66667,1.54545,1,0," Approved",1
97,2," Graduate"," Yes",6600000,15000000,18,1.5000,470,Low,1200000,4800000,18200000,7000000,31200000,2.27273,2.08000,1,0," Rejected",0
98,2," Not Graduate"," No",8700000,25000000,20,1.6667,861,High,14700000,8500000,23200000,7300000,53700000,2.87356,2.14800,1,0," Approved",1
99,4," Graduate"," No",9400000,29400000,12,1.0000,562,Low,25900000,15200000,36400000,7100000,84600000,3.12766,2.87755,1,0," Approved",1
100,0," Graduate"," No",4400000,10800000,14,1.1667,463,Low,2400000,4800000,13800000,4700000,25700000,2.45455,2.37963,0,0," Rejected",0
101,4," Not Graduate"," No",400000,900000,12,1.0000,478,Low,700000,100000,1200000,100000,2100000,2.25000,2.33333,1,0," Rejected",0
102,2," Not Graduate"," Yes",300000,1100000,2,0.1667,702,Medium,300000,200000,500000,200000,1200000,3.66667,1.09091,1,0," Approved",1
103,2," Not Graduate"," Yes",4300000,12900000,20,1.6667,618,Medium,11400000,3600000,11400000,2400000,28800000,3.00000,2.23256,1,0," Approved",1
104,4," Graduate"," No",1600000,4500000,12,1.0000,633,Medium,700000,1700000,4100000,1900000,8400000,2.81250,1.86667,1,0," Approved",1
105,5," Not Graduate"," Yes",6200000,23600000,10,0.8333,331,Low,18500000,10300000,23800000,8700000,61300000,3.80645,2.59746,1,0," Rejected",0
106,3," Not Graduate"," Yes",4200000,9700000,16,1.3333,841,High,7800000,300000,16700000,5100000,29900000,2.30952,3.08247,1,0," Approved",1
107,4," Not Graduate"," Yes",9000000,18100000,12,1.0000,764,High,600000,16500000,20800000,11600000,49500000,2.01111,2.73481,1,0," Approved",1
108,0," Graduate"," No",2700000,10600000,6,0.5000,591,Low,1300000,2700000,9900000,1800000,15700000,3.92593,1.48113,0,0," Approved",1
109,1," Graduate"," Yes",9700000,35900000,2,0.1667,719,Medium,19600000,7600000,20400000,10900000,58500000,3.70103,1.62953,1,0," Approved",1
110,2," Graduate"," No",3300000,6800000,14,1.1667,317,Low,3400000,300000,11700000,3600000,19000000,2.06061,2.79412,1,0," Rejected",0
111,0," Not Graduate"," No",300000,1100000,8,0.6667,778,High,800000,200000,900000,100000,2000000,3.66667,1.81818,0,0," Approved",1
112,3," Graduate"," Yes",7400000,18200000,14,1.1667,302,Low,5600000,3100000,17900000,5000000,31600000,2.45946,1.73626,1,0," Rejected",0
113,5," Not Graduate"," No",7100000,19700000,8,0.6667,502,Low,7300000,5600000,25300000,9800000,48000000,2.77465,2.43655,1,0," Rejected",0
114,5," Not Graduate"," Yes",7300000,22100000,18,1.5000,879,High,19500000,10600000,19300000,9800000,59200000,3.02740,2.67873,1,0," Approved",1
115,1," Not Graduate"," No",8400000,23400000,14,1.1667,437,Low,15400000,5800000,33400000,8100000,62700000,2.78571,2.67949,1,0," Rejected",0
116,0," Not Graduate"," Yes",3300000,10800000,12,1.0000,797,High,600000,6000000,7700000,3300000,17600000,3.27273,1.62963,0,0," Approved",1
117,4," Not Graduate"," Yes",5800000,23200000,18,1.5000,456,Low,16100000,4200000,22600000,7500000,50400000,4.00000,2.17241,1,0," Rejected",0
118,0," Not Graduate"," No",600000,1600000,6,0.5000,647,Medium,1500000,600000,1500000,700000,4300000,2.66667,2.68750,0,0," Approved",1
119,0," Not Graduate"," No",7200000,15800000,12,1.0000,379,Low,12700000,12200000,21500000,3600000,50000000,2.19444,3.16456,0,0," Rejected",0
120,1," Not Graduate"," Yes",9100000,32900000,2,0.1667,717,Medium,2200000,2000000,23600000,5900000,33700000,3.61538,1.02432,1,0," Approved",1
121,5," Graduate"," No",900000,2300000,16,1.3333,545,Low,100000,200000,2700000,800000,3800000,2.55556,1.65217,1,0," Rejected",0
122,2," Graduate"," No",800000,3200000,8,0.6667,317,Low,300000,1000000,2000000,900000,4200000,4.00000,1.31250,1,0," Rejected",0
123,1," Not Graduate"," No",8500000,32900000,10,0.8333,570,Low,5100000,6200000,20500000,5500000,37300000,3.87059,1.13374,1,0," Approved",1
124,0," Not Graduate"," Yes",9000000,18700000,18,1.5000,865,High,26800000,0,20900000,11300000,59000000,2.07778,3.15508,0,0," Approved",1
125,3," Graduate"," No",7000000,19500000,14,1.1667,719,Medium,12200000,10300000,18200000,10200000,50900000,2.78571,2.61026,1,0," Approved",1
126,3," Graduate"," No",200000,600000,16,1.3333,821,High,400000,100000,500000,100000,1100000,3.00000,1.83333,1,1," Approved",1
127,4," Not Graduate"," Yes",400000,800000,10,0.8333,859,High,900000,500000,800000,200000,2400000,2.00000,3.00000,1,0," Approved",1
128,3," Not Graduate"," No",5100000,18200000,10,0.8333,395,Low,100000,8000000,15500000,6300000,29900000,3.56863,1.64286,1,0," Rejected",0
129,2," Not Graduate"," Yes",700000,2600000,12,1.0000,429,Low,1600000,1300000,2700000,800000,6400000,3.71429,2.46154,1,0," Rejected",0
130,3," Graduate"," No",400000,1200000,12,1.0000,861,High,200000,600000,1100000,200000,2100000,3.00000,1.75000,1,0," Approved",1
131,0," Not Graduate"," Yes",9500000,20800000,14,1.1667,565,Low,15100000,11900000,33900000,13400000,74300000,2.18947,3.57212,0,0," Approved",1
132,5," Graduate"," No",8800000,22600000,10,0.8333,357,Low,7900000,8600000,18200000,4900000,39600000,2.56818,1.75221,1,0," Rejected",0
133,3," Not Graduate"," Yes",1800000,3600000,18,1.5000,465,Low,600000,500000,5400000,2600000,9100000,2.00000,2.52778,1,0," Rejected",0
134,4," Not Graduate"," Yes",6800000,13900000,8,0.6667,479,Low,11700000,9100000,25700000,9600000,56100000,2.04412,4.03597,1,0," Rejected",0
135,3," Not Graduate"," No",1500000,5500000,16,1.3333,717,Medium,2100000,800000,4400000,1300000,8600000,3.66667,1.56364,1,0," Approved",1
136,3," Graduate"," No",1600000,5500000,12,1.0000,425,Low,600000,800000,5400000,900000,7700000,3.43750,1.40000,1,0," Rejected",0
137,2," Not Graduate"," No",4600000,16700000,2,0.1667,786,High,200000,5900000,13900000,6100000,26100000,3.63043,1.56287,1,0," Approved",1
138,5," Not Graduate"," Yes",2200000,6700000,6,0.5000,382,Low,4400000,1300000,8600000,1100000,15400000,3.04545,2.29851,1,0," Rejected",0
139,3," Not Graduate"," Yes",2900000,8500000,12,1.0000,564,Low,1000000,3100000,7500000,1800000,13400000,2.93103,1.57647,1,0," Approved",1
140,0," Graduate"," No",200000,700000,8,0.6667,501,Low,500000,200000,700000,100000,1500000,3.50000,2.14286,0,1," Rejected",0
141,2," Not Graduate"," Yes",2500000,9400000,10,0.8333,727,Medium,6600000,4100000,9500000,3300000,23500000,3.76000,2.50000,1,0," Approved",1
142,4," Not Graduate"," No",3600000,7500000,6,0.5000,894,High,1100000,6500000,7400000,2800000,17800000,2.08333,2.37333,1,0," Approved",1
143,0," Graduate"," Yes",5500000,16700000,18,1.5000,829,High,5500000,1300000,12800000,5900000,25500000,3.03636,1.52695,0,0," Approved",1
144,4," Not Graduate"," No",6600000,17400000,20,1.6667,506,Low,2600000,10000000,25900000,7200000,45700000,2.63636,2.62644,1,0," Rejected",0
145,2," Graduate"," Yes",8600000,32100000,6,0.5000,802,High,9400000,16700000,24500000,9800000,60400000,3.73256,1.88162,1,0," Approved",1
146,5," Not Graduate"," No",600000,1500000,14,1.1667,543,Low,300000,900000,2100000,300000,3600000,2.50000,2.40000,1,0," Rejected",0
147,3," Graduate"," Yes",1400000,3200000,20,1.6667,772,High,2400000,900000,5100000,1600000,10000000,2.28571,3.12500,1,0," Approved",1
148,3," Graduate"," No",4000000,11100000,12,1.0000,572,Low,9700000,100000,12500000,2400000,24700000,2.77500,2.22523,1,0," Approved",1
149,0," Not Graduate"," Yes",4900000,11900000,16,1.3333,709,Medium,14600000,900000,18500000,3800000,37800000,2.42857,3.17647,0,0," Approved",1
150,5," Graduate"," No",2000000,6200000,18,1.5000,402,Low,4000000,2100000,7200000,1100000,14400000,3.10000,2.32258,1,0," Rejected",0
151,1," Not Graduate"," Yes",5200000,19300000,8,0.6667,481,Low,14300000,9500000,18800000,4200000,46800000,3.71154,2.42487,1,0," Rejected",0
152,5," Graduate"," Yes",8900000,28800000,6,0.5000,772,High,13600000,5500000,20400000,8400000,47900000,3.23596,1.66319,1,0," Approved",1
153,1," Graduate"," Yes",6500000,20600000,2,0.1667,306,Low,15900000,1900000,18100000,3200000,39100000,3.16923,1.89806,1,0," Approved",1
154,2," Not Graduate"," No",1300000,4500000,6,0.5000,415,Low,0,900000,2900000,1200000,5000000,3.46154,1.11111,1,0," Rejected",0
155,3," Not Graduate"," No",9400000,35000000,16,1.3333,548,Low,18200000,4400000,36100000,4800000,63500000,3.72340,1.81429,1,0," Rejected",0
156,5," Not Graduate"," No",5000000,11200000,8,0.6667,701,Medium,9100000,500000,14000000,4600000,28200000,2.24000,2.51786,1,0," Approved",1
157,2," Graduate"," No",3000000,7700000,12,1.0000,890,High,4700000,4300000,8400000,2100000,19500000,2.56667,2.53247,1,0," Approved",1
158,5," Not Graduate"," Yes",9900000,33300000,6,0.5000,364,Low,5300000,18700000,27800000,8300000,60100000,3.36364,1.80480,1,0," Rejected",0
159,5," Graduate"," Yes",700000,1300000,20,1.6667,704,Medium,1600000,0,2200000,600000,4400000,1.85714,3.38462,1,0," Approved",1
160,3," Graduate"," Yes",4000000,10600000,10,0.8333,318,Low,1500000,5100000,8000000,4900000,19500000,2.65000,1.83962,1,0," Rejected",0
161,5," Not Graduate"," No",3100000,9600000,2,0.1667,761,High,5800000,1800000,10400000,4200000,22200000,3.09677,2.31250,1,0," Approved",1
162,4," Not Graduate"," No",4500000,15100000,6,0.5000,693,Medium,3700000,1500000,17800000,6000000,29000000,3.35556,1.92053,1,0," Approved",1
163,3," Not Graduate"," No",9700000,20600000,16,1.3333,524,Low,24200000,11100000,27400000,6100000,68800000,2.12371,3.33981,1,0," Rejected",0
164,2," Not Graduate"," Yes",2000000,5300000,10,0.8333,681,Medium,4900000,1400000,4300000,2900000,13500000,2.65000,2.54717,1,0," Approved",1
165,2," Graduate"," Yes",8100000,22300000,18,1.5000,737,Medium,22300000,12600000,27000000,7300000,69200000,2.75309,3.10314,1,0," Approved",1
166,0," Not Graduate"," No",5700000,15900000,16,1.3333,638,Medium,100000,9500000,16300000,4500000,30400000,2.78947,1.91195,0,0," Approved",1
167,4," Not Graduate"," No",5800000,12800000,2,0.1667,656,Medium,500000,5000000,16000000,2800000,24300000,2.20690,1.89844,1,0," Approved",1
168,1," Graduate"," No",1800000,6500000,6,0.5000,540,Low,2500000,3200000,5000000,1100000,11800000,3.61111,1.81538,1,0," Rejected",0
169,4," Not Graduate"," Yes",9100000,35200000,6,0.5000,341,Low,1000000,300000,23100000,8200000,32600000,3.86813,0.92614,1,0," Rejected",0
170,0," Not Graduate"," Yes",4800000,17500000,2,0.1667,371,Low,11700000,6800000,18700000,3500000,40700000,3.64583,2.32571,0,0," Approved",1
171,3," Not Graduate"," Yes",3800000,10500000,12,1.0000,886,High,4000000,500000,14900000,2300000,21700000,2.76316,2.06667,1,0," Approved",1
172,0," Not Graduate"," No",1900000,4100000,18,1.5000,801,High,400000,800000,4800000,1200000,7200000,2.15789,1.75610,0,0," Approved",1
173,3," Not Graduate"," Yes",3600000,9500000,16,1.3333,748,Medium,7700000,2400000,9700000,2600000,22400000,2.63889,2.35789,1,0," Approved",1
174,2," Not Graduate"," Yes",7400000,28200000,8,0.6667,376,Low,21900000,5000000,17400000,5200000,49500000,3.81081,1.75532,1,0," Rejected",0
175,4," Not Graduate"," Yes",6600000,14300000,8,0.6667,371,Low,10800000,9500000,18500000,7400000,46200000,2.16667,3.23077,1,0," Rejected",0
176,2," Graduate"," No",1800000,5300000,6,0.5000,826,High,4500000,700000,6500000,1300000,13000000,2.94444,2.45283,1,0," Approved",1
177,4," Not Graduate"," No",9200000,27200000,12,1.0000,873,High,4500000,1800000,33800000,11400000,51500000,2.95652,1.89338,1,0," Approved",1
178,5," Not Graduate"," Yes",2400000,8600000,8,0.6667,309,Low,500000,600000,5700000,2800000,9600000,3.58333,1.11628,1,0," Rejected",0
179,4," Not Graduate"," No",5600000,13300000,20,1.6667,869,High,3300000,7500000,20000000,6500000,37300000,2.37500,2.80451,1,0," Approved",1
180,5," Graduate"," No",3800000,13900000,12,1.0000,534,Low,4700000,2900000,8200000,2800000,18600000,3.65789,1.33813,1,0," Rejected",0
181,3," Not Graduate"," Yes",4500000,17900000,6,0.5000,787,High,9800000,3600000,14300000,4200000,31900000,3.97778,1.78212,1,0," Approved",1
182,0," Graduate"," Yes",900000,2200000,16,1.3333,566,Low,100000,700000,2000000,600000,3400000,2.44444,1.54545,0,0," Approved",1
183,0," Not Graduate"," No",2800000,9900000,8,0.6667,742,Medium,4900000,1300000,6700000,1700000,14600000,3.53571,1.47475,0,0," Approved",1
184,2," Not Graduate"," No",7500000,23100000,4,0.3333,824,High,12100000,10900000,26300000,9500000,58800000,3.08000,2.54545,1,0," Approved",1
185,4," Graduate"," No",1400000,3100000,14,1.1667,575,Low,3000000,2100000,4900000,1400000,11400000,2.21429,3.67742,1,0," Approved",1
186,2," Graduate"," Yes",3800000,10900000,10,0.8333,766,High,1900000,3900000,8600000,3000000,17400000,2.86842,1.59633,1,0," Approved",1
